round,TP,FN,FP,TN,TPR_round,FPR_round
1,0,0,0,20,nan,0.0
2,0,0,0,20,nan,0.0
3,0,0,0,20,nan,0.0
4,0,0,1,19,nan,0.05
5,0,0,0,20,nan,0.0
6,0,0,0,20,nan,0.0
7,0,0,3,17,nan,0.15
8,0,0,3,17,nan,0.15
9,0,0,7,13,nan,0.35
10,0,0,6,14,nan,0.3
11,0,0,9,11,nan,0.45
12,0,0,9,11,nan,0.45
13,0,0,11,9,nan,0.55
14,0,0,14,6,nan,0.7
15,0,0,12,8,nan,0.6
16,0,0,12,8,nan,0.6
17,0,0,16,4,nan,0.8
18,0,0,15,5,nan,0.75
19,0,0,16,4,nan,0.8
20,0,0,17,3,nan,0.85
21,0,0,15,5,nan,0.75
22,0,0,0,20,nan,0.0
23,0,0,3,17,nan,0.15
24,0,0,8,12,nan,0.4
25,0,0,9,11,nan,0.45
26,0,0,7,13,nan,0.35
27,0,0,7,13,nan,0.35
28,0,0,5,15,nan,0.25
29,0,0,9,11,nan,0.45
30,0,0,9,11,nan,0.45
31,0,0,8,12,nan,0.4
32,0,0,8,12,nan,0.4
33,0,0,7,13,nan,0.35
34,0,0,9,11,nan,0.45
35,0,0,9,11,nan,0.45
36,0,0,11,9,nan,0.55
37,0,0,8,12,nan,0.4
38,0,0,7,13,nan,0.35
39,0,0,12,8,nan,0.6
40,0,0,10,10,nan,0.5
41,0,0,11,9,nan,0.55
42,0,0,5,15,nan,0.25
43,0,0,12,8,nan,0.6
44,0,0,11,9,nan,0.55
45,0,0,12,8,nan,0.6
46,0,0,9,11,nan,0.45
47,0,0,12,8,nan,0.6
48,0,0,12,8,nan,0.6
49,0,0,10,10,nan,0.5
50,0,0,7,13,nan,0.35
51,0,0,11,9,nan,0.55
52,0,0,13,7,nan,0.65
53,0,0,12,8,nan,0.6
54,0,0,12,8,nan,0.6
55,0,0,10,10,nan,0.5
56,0,0,9,11,nan,0.45
57,0,0,10,10,nan,0.5
58,0,0,17,3,nan,0.85
59,0,0,8,12,nan,0.4
60,0,0,11,9,nan,0.55
61,0,0,14,6,nan,0.7
62,0,0,8,12,nan,0.4
63,0,0,15,5,nan,0.75
64,0,0,12,8,nan,0.6
65,0,0,12,8,nan,0.6
66,0,0,10,10,nan,0.5
67,0,0,9,11,nan,0.45
68,0,0,13,7,nan,0.65
69,0,0,12,8,nan,0.6
70,0,0,11,9,nan,0.55
71,0,0,16,4,nan,0.8
72,0,0,13,7,nan,0.65
73,0,0,13,7,nan,0.65
74,0,0,15,5,nan,0.75
75,0,0,12,8,nan,0.6
76,0,0,13,7,nan,0.65
77,0,0,13,7,nan,0.65
78,0,0,15,5,nan,0.75
79,0,0,16,4,nan,0.8
80,0,0,12,8,nan,0.6
81,0,0,16,4,nan,0.8
82,0,0,17,3,nan,0.85
83,0,0,13,7,nan,0.65
84,0,0,15,5,nan,0.75
85,0,0,13,7,nan,0.65
86,0,0,14,6,nan,0.7
87,0,0,15,5,nan,0.75
88,0,0,14,6,nan,0.7
89,0,0,15,5,nan,0.75
90,0,0,13,7,nan,0.65
91,0,0,14,6,nan,0.7
92,0,0,16,4,nan,0.8
93,0,0,14,6,nan,0.7
94,0,0,14,6,nan,0.7
95,0,0,13,7,nan,0.65
96,0,0,17,3,nan,0.85
97,0,0,9,11,nan,0.45
98,0,0,18,2,nan,0.9
99,0,0,10,10,nan,0.5
100,0,0,14,6,nan,0.7
101,0,0,14,6,nan,0.7
102,0,0,14,6,nan,0.7
103,0,0,12,8,nan,0.6
104,0,0,16,4,nan,0.8
105,0,0,14,6,nan,0.7
106,0,0,15,5,nan,0.75
107,0,0,15,5,nan,0.75
108,0,0,16,4,nan,0.8
109,0,0,16,4,nan,0.8
110,0,0,14,6,nan,0.7
111,0,0,15,5,nan,0.75
112,0,0,14,6,nan,0.7
113,0,0,19,1,nan,0.95
114,0,0,10,10,nan,0.5
115,0,0,16,4,nan,0.8
116,0,0,16,4,nan,0.8
117,0,0,17,3,nan,0.85
118,0,0,10,10,nan,0.5
119,0,0,17,3,nan,0.85
120,2,0,12,6,1.0,0.6666666666666666
121,1,0,16,3,1.0,0.8421052631578947
122,1,0,14,5,1.0,0.7368421052631579
123,3,0,12,5,1.0,0.7058823529411765
124,3,0,12,5,1.0,0.7058823529411765
125,3,0,12,5,1.0,0.7058823529411765
126,4,0,13,3,1.0,0.8125
127,4,0,13,3,1.0,0.8125
128,1,0,16,3,1.0,0.8421052631578947
129,2,0,12,6,1.0,0.6666666666666666
130,1,0,17,2,1.0,0.8947368421052632
131,1,0,11,8,1.0,0.5789473684210527
132,3,0,16,1,1.0,0.9411764705882353
133,1,0,12,7,1.0,0.631578947368421
134,2,0,16,2,1.0,0.8888888888888888
135,2,0,8,10,1.0,0.4444444444444444
136,2,0,16,2,1.0,0.8888888888888888
137,2,0,13,5,1.0,0.7222222222222222
138,3,0,12,5,1.0,0.7058823529411765
139,4,0,12,4,1.0,0.75
140,0,0,18,2,nan,0.9
141,4,0,11,5,1.0,0.6875
142,1,0,16,3,1.0,0.8421052631578947
143,1,0,17,2,1.0,0.8947368421052632
144,1,0,8,11,1.0,0.42105263157894735
145,1,0,12,7,1.0,0.631578947368421
146,3,0,11,6,1.0,0.6470588235294118
147,4,0,13,3,1.0,0.8125
148,1,0,18,1,1.0,0.9473684210526315
149,2,0,8,10,1.0,0.4444444444444444
150,3,0,16,1,1.0,0.9411764705882353
151,0,0,11,9,nan,0.55
152,2,0,13,5,1.0,0.7222222222222222
153,2,0,16,2,1.0,0.8888888888888888
154,1,0,17,2,1.0,0.8947368421052632
155,1,0,14,5,1.0,0.7368421052631579
156,1,0,13,6,1.0,0.6842105263157895
157,2,0,13,5,1.0,0.7222222222222222
158,2,0,15,3,1.0,0.8333333333333334
159,1,0,18,1,1.0,0.9473684210526315
160,1,0,10,9,1.0,0.5263157894736842
161,1,0,17,2,1.0,0.8947368421052632
162,3,0,16,1,1.0,0.9411764705882353
163,0,0,10,10,nan,0.5
164,4,0,10,6,1.0,0.625
165,2,0,16,2,1.0,0.8888888888888888
166,3,0,14,3,1.0,0.8235294117647058
167,1,0,16,3,1.0,0.8421052631578947
168,2,0,15,3,1.0,0.8333333333333334
169,3,0,13,4,1.0,0.7647058823529411
170,2,0,16,2,1.0,0.8888888888888888
171,0,0,17,3,nan,0.85
172,0,0,17,3,nan,0.85
173,0,0,17,3,nan,0.85
174,0,0,19,1,nan,0.95
175,0,0,13,7,nan,0.65
176,0,0,15,5,nan,0.75
177,0,0,18,2,nan,0.9
178,0,0,12,8,nan,0.6
179,0,0,18,2,nan,0.9
180,0,0,19,1,nan,0.95
181,0,0,15,5,nan,0.75
182,0,0,18,2,nan,0.9
183,0,0,14,6,nan,0.7
184,0,0,18,2,nan,0.9
185,0,0,18,2,nan,0.9
186,0,0,17,3,nan,0.85
187,0,0,17,3,nan,0.85
188,0,0,17,3,nan,0.85
189,0,0,14,6,nan,0.7
190,0,0,17,3,nan,0.85
191,0,0,15,5,nan,0.75
