round,TP,FN,FP,TN,TPR_round,FPR_round
1,0,0,0,20,nan,0.0
2,0,0,0,20,nan,0.0
3,0,0,0,20,nan,0.0
4,0,0,3,17,nan,0.15
5,0,0,0,20,nan,0.0
6,0,0,4,16,nan,0.2
7,0,0,1,19,nan,0.05
8,0,0,8,12,nan,0.4
9,0,0,12,8,nan,0.6
10,0,0,19,1,nan,0.95
11,0,0,2,18,nan,0.1
12,0,0,2,18,nan,0.1
13,0,0,16,4,nan,0.8
14,0,0,15,5,nan,0.75
15,0,0,15,5,nan,0.75
16,0,0,17,3,nan,0.85
17,0,0,15,5,nan,0.75
18,0,0,16,4,nan,0.8
19,0,0,12,8,nan,0.6
20,0,0,18,2,nan,0.9
21,0,0,17,3,nan,0.85
22,0,0,18,2,nan,0.9
23,0,0,19,1,nan,0.95
24,0,0,7,13,nan,0.35
25,0,0,14,6,nan,0.7
26,0,0,0,20,nan,0.0
27,0,0,7,13,nan,0.35
28,0,0,13,7,nan,0.65
29,0,0,14,6,nan,0.7
30,0,0,12,8,nan,0.6
31,0,0,8,12,nan,0.4
32,0,0,15,5,nan,0.75
33,0,0,14,6,nan,0.7
34,0,0,10,10,nan,0.5
35,0,0,15,5,nan,0.75
36,0,0,17,3,nan,0.85
37,0,0,12,8,nan,0.6
38,0,0,14,6,nan,0.7
39,0,0,11,9,nan,0.55
40,0,0,14,6,nan,0.7
41,0,0,17,3,nan,0.85
42,0,0,16,4,nan,0.8
43,0,0,19,1,nan,0.95
44,0,0,6,14,nan,0.3
45,0,0,11,9,nan,0.55
46,0,0,0,20,nan,0.0
47,0,0,2,18,nan,0.1
48,0,0,4,16,nan,0.2
49,0,0,4,16,nan,0.2
50,0,0,5,15,nan,0.25
51,0,0,9,11,nan,0.45
52,0,0,7,13,nan,0.35
53,0,0,11,9,nan,0.55
54,0,0,6,14,nan,0.3
55,0,0,8,12,nan,0.4
56,0,0,12,8,nan,0.6
57,0,0,5,15,nan,0.25
58,0,0,8,12,nan,0.4
59,0,0,10,10,nan,0.5
60,0,0,12,8,nan,0.6
61,0,0,11,9,nan,0.55
62,0,0,13,7,nan,0.65
63,0,0,13,7,nan,0.65
64,0,0,11,9,nan,0.55
65,0,0,13,7,nan,0.65
66,0,0,13,7,nan,0.65
67,0,0,11,9,nan,0.55
68,0,0,11,9,nan,0.55
69,0,0,14,6,nan,0.7
70,0,0,13,7,nan,0.65
71,0,0,15,5,nan,0.75
72,0,0,10,10,nan,0.5
73,0,0,16,4,nan,0.8
74,0,0,16,4,nan,0.8
75,0,0,13,7,nan,0.65
76,0,0,18,2,nan,0.9
77,0,0,12,8,nan,0.6
78,0,0,10,10,nan,0.5
79,0,0,16,4,nan,0.8
80,0,0,11,9,nan,0.55
81,0,0,13,7,nan,0.65
82,0,0,14,6,nan,0.7
83,0,0,15,5,nan,0.75
84,0,0,15,5,nan,0.75
85,0,0,17,3,nan,0.85
86,0,0,12,8,nan,0.6
87,0,0,12,8,nan,0.6
88,0,0,18,2,nan,0.9
89,0,0,13,7,nan,0.65
90,0,0,13,7,nan,0.65
91,0,0,15,5,nan,0.75
92,0,0,16,4,nan,0.8
93,0,0,13,7,nan,0.65
94,0,0,13,7,nan,0.65
95,0,0,17,3,nan,0.85
96,0,0,15,5,nan,0.75
97,0,0,17,3,nan,0.85
98,0,0,18,2,nan,0.9
99,0,0,11,9,nan,0.55
100,0,0,18,2,nan,0.9
101,0,0,12,8,nan,0.6
102,0,0,12,8,nan,0.6
103,0,0,15,5,nan,0.75
104,0,0,17,3,nan,0.85
105,0,0,12,8,nan,0.6
106,0,0,18,2,nan,0.9
107,0,0,15,5,nan,0.75
108,0,0,11,9,nan,0.55
109,0,0,16,4,nan,0.8
110,0,0,14,6,nan,0.7
111,0,0,17,3,nan,0.85
112,0,0,15,5,nan,0.75
113,0,0,18,2,nan,0.9
114,0,0,12,8,nan,0.6
115,0,0,17,3,nan,0.85
116,0,0,17,3,nan,0.85
117,0,0,12,8,nan,0.6
118,0,0,17,3,nan,0.85
119,0,0,15,5,nan,0.75
120,2,0,17,1,1.0,0.9444444444444444
121,1,0,12,7,1.0,0.631578947368421
122,3,0,13,4,1.0,0.7647058823529411
123,2,0,14,4,1.0,0.7777777777777778
124,4,0,12,4,1.0,0.75
125,2,0,13,5,1.0,0.7222222222222222
126,2,0,16,2,1.0,0.8888888888888888
127,2,0,13,5,1.0,0.7222222222222222
128,1,0,15,4,1.0,0.7894736842105263
129,2,0,15,3,1.0,0.8333333333333334
130,1,0,15,4,1.0,0.7894736842105263
131,2,0,17,1,1.0,0.9444444444444444
132,4,0,9,7,1.0,0.5625
133,1,0,15,4,1.0,0.7894736842105263
134,2,0,16,2,1.0,0.8888888888888888
135,2,0,9,9,1.0,0.5
136,3,0,14,3,1.0,0.8235294117647058
137,3,0,13,4,1.0,0.7647058823529411
138,2,0,17,1,1.0,0.9444444444444444
139,2,0,12,6,1.0,0.6666666666666666
140,4,0,13,3,1.0,0.8125
141,4,0,13,3,1.0,0.8125
142,3,0,12,5,1.0,0.7058823529411765
143,3,0,15,2,1.0,0.8823529411764706
144,4,0,14,2,1.0,0.875
145,3,0,15,2,1.0,0.8823529411764706
146,1,0,16,3,1.0,0.8421052631578947
147,1,0,17,2,1.0,0.8947368421052632
148,4,0,8,8,1.0,0.5
149,1,0,18,1,1.0,0.9473684210526315
150,3,0,10,7,1.0,0.5882352941176471
151,2,0,16,2,1.0,0.8888888888888888
152,0,0,14,6,nan,0.7
153,5,0,14,1,1.0,0.9333333333333333
154,2,0,13,5,1.0,0.7222222222222222
155,0,2,0,18,0.0,0.0
156,3,0,8,9,1.0,0.47058823529411764
157,2,0,5,13,1.0,0.2777777777777778
158,1,0,8,11,1.0,0.42105263157894735
159,2,0,4,14,1.0,0.2222222222222222
160,1,0,7,12,1.0,0.3684210526315789
161,2,0,6,12,1.0,0.3333333333333333
162,3,0,7,10,1.0,0.4117647058823529
163,2,0,11,7,1.0,0.6111111111111112
164,4,0,3,13,1.0,0.1875
165,4,0,6,10,1.0,0.375
166,3,0,10,7,1.0,0.5882352941176471
167,2,0,6,12,1.0,0.3333333333333333
168,1,0,12,7,1.0,0.631578947368421
169,4,0,6,10,1.0,0.375
170,2,0,12,6,1.0,0.6666666666666666
171,0,0,14,6,nan,0.7
172,0,0,10,10,nan,0.5
173,0,0,12,8,nan,0.6
174,0,0,11,9,nan,0.55
175,0,0,13,7,nan,0.65
176,0,0,14,6,nan,0.7
177,0,0,9,11,nan,0.45
178,0,0,11,9,nan,0.55
179,0,0,11,9,nan,0.55
180,0,0,13,7,nan,0.65
181,0,0,8,12,nan,0.4
182,0,0,12,8,nan,0.6
183,0,0,10,10,nan,0.5
184,0,0,15,5,nan,0.75
185,0,0,12,8,nan,0.6
186,0,0,12,8,nan,0.6
187,0,0,13,7,nan,0.65
188,0,0,14,6,nan,0.7
189,0,0,14,6,nan,0.7
190,0,0,13,7,nan,0.65
191,0,0,11,9,nan,0.55
192,0,0,16,4,nan,0.8
