round,TP,FN,FP,TN,TPR_round,FPR_round
1,0,0,0,20,nan,0.0
2,0,0,0,20,nan,0.0
3,0,0,0,20,nan,0.0
4,0,0,1,19,nan,0.05
5,0,0,2,18,nan,0.1
6,0,0,3,17,nan,0.15
7,0,0,9,11,nan,0.45
8,0,0,9,11,nan,0.45
9,0,0,8,12,nan,0.4
10,0,0,13,7,nan,0.65
11,0,0,14,6,nan,0.7
12,0,0,16,4,nan,0.8
13,0,0,18,2,nan,0.9
14,0,0,0,20,nan,0.0
15,0,0,10,10,nan,0.5
16,0,0,13,7,nan,0.65
17,0,0,14,6,nan,0.7
18,0,0,14,6,nan,0.7
19,0,0,13,7,nan,0.65
20,0,0,19,1,nan,0.95
21,0,0,12,8,nan,0.6
22,0,0,15,5,nan,0.75
23,0,0,15,5,nan,0.75
24,0,0,11,9,nan,0.55
25,0,0,15,5,nan,0.75
26,0,0,16,4,nan,0.8
27,0,0,16,4,nan,0.8
28,0,0,16,4,nan,0.8
29,0,0,18,2,nan,0.9
30,0,0,17,3,nan,0.85
31,0,0,14,6,nan,0.7
32,0,0,13,7,nan,0.65
33,0,0,13,7,nan,0.65
34,0,0,13,7,nan,0.65
35,0,0,16,4,nan,0.8
36,0,0,11,9,nan,0.55
37,0,0,15,5,nan,0.75
38,0,0,16,4,nan,0.8
39,0,0,13,7,nan,0.65
40,0,0,0,20,nan,0.0
41,0,0,10,10,nan,0.5
42,0,0,8,12,nan,0.4
43,0,0,10,10,nan,0.5
44,0,0,7,13,nan,0.35
45,0,0,12,8,nan,0.6
46,0,0,11,9,nan,0.55
47,0,0,9,11,nan,0.45
48,0,0,8,12,nan,0.4
49,0,0,9,11,nan,0.45
50,0,0,9,11,nan,0.45
51,0,0,11,9,nan,0.55
52,0,0,10,10,nan,0.5
53,0,0,13,7,nan,0.65
54,0,0,12,8,nan,0.6
55,0,0,11,9,nan,0.55
56,0,0,12,8,nan,0.6
57,0,0,11,9,nan,0.55
58,0,0,12,8,nan,0.6
59,0,0,13,7,nan,0.65
60,0,0,16,4,nan,0.8
61,0,0,14,6,nan,0.7
62,0,0,12,8,nan,0.6
63,0,0,12,8,nan,0.6
64,0,0,14,6,nan,0.7
65,0,0,9,11,nan,0.45
66,0,0,14,6,nan,0.7
67,0,0,12,8,nan,0.6
68,0,0,12,8,nan,0.6
69,0,0,11,9,nan,0.55
70,0,0,15,5,nan,0.75
71,0,0,15,5,nan,0.75
72,0,0,15,5,nan,0.75
73,0,0,12,8,nan,0.6
74,0,0,14,6,nan,0.7
75,0,0,13,7,nan,0.65
76,0,0,12,8,nan,0.6
77,0,0,13,7,nan,0.65
78,0,0,16,4,nan,0.8
79,0,0,15,5,nan,0.75
80,0,0,15,5,nan,0.75
81,0,0,14,6,nan,0.7
82,0,0,17,3,nan,0.85
83,0,0,14,6,nan,0.7
84,0,0,15,5,nan,0.75
85,0,0,14,6,nan,0.7
86,0,0,19,1,nan,0.95
87,0,0,11,9,nan,0.55
88,0,0,14,6,nan,0.7
89,0,0,17,3,nan,0.85
90,0,0,11,9,nan,0.55
91,0,0,17,3,nan,0.85
92,0,0,15,5,nan,0.75
93,0,0,13,7,nan,0.65
94,0,0,14,6,nan,0.7
95,0,0,15,5,nan,0.75
96,0,0,17,3,nan,0.85
97,0,0,11,9,nan,0.55
98,0,0,17,3,nan,0.85
99,0,0,17,3,nan,0.85
100,0,0,19,1,nan,0.95
101,0,0,12,8,nan,0.6
102,0,0,15,5,nan,0.75
103,0,0,16,4,nan,0.8
104,0,0,11,9,nan,0.55
105,0,0,18,2,nan,0.9
106,0,0,15,5,nan,0.75
107,0,0,16,4,nan,0.8
108,0,0,16,4,nan,0.8
109,0,0,14,6,nan,0.7
110,0,0,15,5,nan,0.75
111,0,0,16,4,nan,0.8
112,0,0,0,20,nan,0.0
113,0,0,7,13,nan,0.35
114,0,0,13,7,nan,0.65
115,0,0,9,11,nan,0.45
116,0,0,7,13,nan,0.35
117,0,0,11,9,nan,0.55
118,0,0,9,11,nan,0.45
119,0,0,10,10,nan,0.5
120,1,1,11,7,0.5,0.6111111111111112
121,1,0,10,9,1.0,0.5263157894736842
122,6,0,4,10,1.0,0.2857142857142857
123,4,0,6,10,1.0,0.375
124,3,0,8,9,1.0,0.47058823529411764
125,1,0,10,9,1.0,0.5263157894736842
126,3,0,11,6,1.0,0.6470588235294118
127,2,0,9,9,1.0,0.5
128,0,0,9,11,nan,0.45
129,2,0,7,11,1.0,0.3888888888888889
130,4,0,10,6,1.0,0.625
131,1,0,13,6,1.0,0.6842105263157895
132,2,0,11,7,1.0,0.6111111111111112
133,4,0,9,7,1.0,0.5625
134,3,0,9,8,1.0,0.5294117647058824
135,2,0,10,8,1.0,0.5555555555555556
136,2,0,11,7,1.0,0.6111111111111112
137,2,0,10,8,1.0,0.5555555555555556
138,2,0,12,6,1.0,0.6666666666666666
139,3,0,13,4,1.0,0.7647058823529411
140,1,0,13,6,1.0,0.6842105263157895
141,2,0,14,4,1.0,0.7777777777777778
142,4,0,12,4,1.0,0.75
143,3,0,12,5,1.0,0.7058823529411765
144,2,0,11,7,1.0,0.6111111111111112
145,3,0,15,2,1.0,0.8823529411764706
146,2,0,11,7,1.0,0.6111111111111112
147,4,0,8,8,1.0,0.5
148,2,0,14,4,1.0,0.7777777777777778
149,1,0,14,5,1.0,0.7368421052631579
150,2,0,8,10,1.0,0.4444444444444444
151,4,0,15,1,1.0,0.9375
152,2,0,11,7,1.0,0.6111111111111112
153,5,0,9,6,1.0,0.6
154,2,0,13,5,1.0,0.7222222222222222
155,2,0,10,8,1.0,0.5555555555555556
156,2,0,13,5,1.0,0.7222222222222222
157,2,0,10,8,1.0,0.5555555555555556
158,2,0,14,4,1.0,0.7777777777777778
159,2,0,13,5,1.0,0.7222222222222222
160,3,0,13,4,1.0,0.7647058823529411
161,4,0,14,2,1.0,0.875
162,2,0,10,8,1.0,0.5555555555555556
163,1,0,16,3,1.0,0.8421052631578947
164,5,0,11,4,1.0,0.7333333333333333
165,2,0,12,6,1.0,0.6666666666666666
166,2,0,17,1,1.0,0.9444444444444444
167,1,0,12,7,1.0,0.631578947368421
168,2,0,10,8,1.0,0.5555555555555556
169,2,0,13,5,1.0,0.7222222222222222
170,3,0,13,4,1.0,0.7647058823529411
171,0,0,17,3,nan,0.85
172,0,0,15,5,nan,0.75
173,0,0,16,4,nan,0.8
174,0,0,13,7,nan,0.65
175,0,0,17,3,nan,0.85
176,0,0,14,6,nan,0.7
177,0,0,15,5,nan,0.75
178,0,0,15,5,nan,0.75
179,0,0,16,4,nan,0.8
180,0,0,15,5,nan,0.75
181,0,0,10,10,nan,0.5
182,0,0,19,1,nan,0.95
183,0,0,11,9,nan,0.55
184,0,0,15,5,nan,0.75
185,0,0,11,9,nan,0.55
186,0,0,16,4,nan,0.8
187,0,0,14,6,nan,0.7
188,0,0,16,4,nan,0.8
189,0,0,17,3,nan,0.85
190,0,0,16,4,nan,0.8
191,0,0,15,5,nan,0.75
