round,TP,FN,FP,TN,TPR_round,FPR_round
1,0,0,0,20,nan,0.0
2,0,0,0,20,nan,0.0
3,0,0,0,20,nan,0.0
4,0,0,5,15,nan,0.25
5,0,0,3,17,nan,0.15
6,0,0,8,12,nan,0.4
7,0,0,5,15,nan,0.25
8,0,0,13,7,nan,0.65
9,0,0,18,2,nan,0.9
10,0,0,8,12,nan,0.4
11,0,0,13,7,nan,0.65
12,0,0,19,1,nan,0.95
13,0,0,9,11,nan,0.45
14,0,0,15,5,nan,0.75
15,0,0,0,20,nan,0.0
16,0,0,17,3,nan,0.85
17,0,0,13,7,nan,0.65
18,0,0,11,9,nan,0.55
19,0,0,12,8,nan,0.6
20,0,0,17,3,nan,0.85
21,0,0,11,9,nan,0.55
22,0,0,0,20,nan,0.0
23,0,0,12,8,nan,0.6
24,0,0,11,9,nan,0.55
25,0,0,16,4,nan,0.8
26,0,0,8,12,nan,0.4
27,0,0,16,4,nan,0.8
28,0,0,15,5,nan,0.75
29,0,0,19,1,nan,0.95
30,0,0,2,18,nan,0.1
31,0,0,5,15,nan,0.25
32,0,0,16,4,nan,0.8
33,0,0,14,6,nan,0.7
34,0,0,12,8,nan,0.6
35,0,0,16,4,nan,0.8
36,0,0,17,3,nan,0.85
37,0,0,6,14,nan,0.3
38,0,0,16,4,nan,0.8
39,0,0,18,2,nan,0.9
40,0,0,10,10,nan,0.5
41,0,0,18,2,nan,0.9
42,0,0,18,2,nan,0.9
43,0,0,14,6,nan,0.7
44,0,0,19,1,nan,0.95
45,0,0,9,11,nan,0.45
46,0,0,11,9,nan,0.55
47,0,0,19,1,nan,0.95
48,0,0,2,18,nan,0.1
49,0,0,18,2,nan,0.9
50,0,0,19,1,nan,0.95
51,0,0,5,15,nan,0.25
52,0,0,18,2,nan,0.9
53,0,0,19,1,nan,0.95
54,0,0,13,7,nan,0.65
55,0,0,19,1,nan,0.95
56,0,0,12,8,nan,0.6
57,0,0,12,8,nan,0.6
58,0,0,0,20,nan,0.0
59,0,0,14,6,nan,0.7
60,0,0,15,5,nan,0.75
61,0,0,13,7,nan,0.65
62,0,0,17,3,nan,0.85
63,0,0,12,8,nan,0.6
64,0,0,18,2,nan,0.9
65,0,0,13,7,nan,0.65
66,0,0,13,7,nan,0.65
67,0,0,17,3,nan,0.85
68,0,0,16,4,nan,0.8
69,0,0,18,2,nan,0.9
70,0,0,17,3,nan,0.85
71,0,0,11,9,nan,0.55
72,0,0,17,3,nan,0.85
73,0,0,16,4,nan,0.8
74,0,0,18,2,nan,0.9
75,0,0,8,12,nan,0.4
76,0,0,0,20,nan,0.0
77,0,0,11,9,nan,0.55
78,0,0,11,9,nan,0.55
79,0,0,14,6,nan,0.7
80,0,0,12,8,nan,0.6
81,0,0,15,5,nan,0.75
82,0,0,12,8,nan,0.6
83,0,0,12,8,nan,0.6
84,0,0,13,7,nan,0.65
85,0,0,18,2,nan,0.9
86,0,0,7,13,nan,0.35
87,0,0,17,3,nan,0.85
88,0,0,16,4,nan,0.8
89,0,0,13,7,nan,0.65
90,0,0,15,5,nan,0.75
91,0,0,13,7,nan,0.65
92,0,0,18,2,nan,0.9
93,0,0,15,5,nan,0.75
94,0,0,17,3,nan,0.85
95,0,0,9,11,nan,0.45
96,0,0,17,3,nan,0.85
97,0,0,14,6,nan,0.7
98,0,0,17,3,nan,0.85
99,0,0,16,4,nan,0.8
100,0,0,15,5,nan,0.75
101,0,0,17,3,nan,0.85
102,0,0,12,8,nan,0.6
103,0,0,17,3,nan,0.85
104,0,0,14,6,nan,0.7
105,0,0,14,6,nan,0.7
106,0,0,16,4,nan,0.8
107,0,0,17,3,nan,0.85
108,0,0,11,9,nan,0.55
109,0,0,15,5,nan,0.75
110,0,0,13,7,nan,0.65
111,0,0,18,2,nan,0.9
112,0,0,16,4,nan,0.8
113,0,0,17,3,nan,0.85
114,0,0,16,4,nan,0.8
115,0,0,16,4,nan,0.8
116,0,0,18,2,nan,0.9
117,0,0,0,20,nan,0.0
118,0,0,12,8,nan,0.6
119,0,0,10,10,nan,0.5
120,2,0,16,2,1.0,0.8888888888888888
121,1,0,11,8,1.0,0.5789473684210527
122,6,0,7,7,1.0,0.5
123,4,0,12,4,1.0,0.75
124,3,0,10,7,1.0,0.5882352941176471
125,1,0,18,1,1.0,0.9473684210526315
126,3,0,8,9,1.0,0.47058823529411764
127,2,0,9,9,1.0,0.5
128,0,0,15,5,nan,0.75
129,2,0,17,1,1.0,0.9444444444444444
130,4,0,7,9,1.0,0.4375
131,1,0,14,5,1.0,0.7368421052631579
132,2,0,12,6,1.0,0.6666666666666666
133,4,0,11,5,1.0,0.6875
134,3,0,11,6,1.0,0.6470588235294118
135,2,0,13,5,1.0,0.7222222222222222
136,2,0,17,1,1.0,0.9444444444444444
137,2,0,9,9,1.0,0.5
138,2,0,14,4,1.0,0.7777777777777778
139,3,0,15,2,1.0,0.8823529411764706
140,1,0,12,7,1.0,0.631578947368421
141,2,0,12,6,1.0,0.6666666666666666
142,4,0,14,2,1.0,0.875
143,3,0,12,5,1.0,0.7058823529411765
144,2,0,13,5,1.0,0.7222222222222222
145,3,0,14,3,1.0,0.8235294117647058
146,2,0,15,3,1.0,0.8333333333333334
147,4,0,6,10,1.0,0.375
148,2,0,17,1,1.0,0.9444444444444444
149,1,0,9,10,1.0,0.47368421052631576
150,2,0,10,8,1.0,0.5555555555555556
151,4,0,14,2,1.0,0.875
152,2,0,9,9,1.0,0.5
153,5,0,12,3,1.0,0.8
154,2,0,16,2,1.0,0.8888888888888888
155,2,0,13,5,1.0,0.7222222222222222
156,2,0,16,2,1.0,0.8888888888888888
157,2,0,15,3,1.0,0.8333333333333334
158,2,0,15,3,1.0,0.8333333333333334
159,0,2,0,18,0.0,0.0
160,3,0,11,6,1.0,0.6470588235294118
161,4,0,9,7,1.0,0.5625
162,2,0,5,13,1.0,0.2777777777777778
163,1,0,13,6,1.0,0.6842105263157895
164,5,0,10,5,1.0,0.6666666666666666
165,2,0,11,7,1.0,0.6111111111111112
166,2,0,11,7,1.0,0.6111111111111112
167,1,0,11,8,1.0,0.5789473684210527
168,2,0,12,6,1.0,0.6666666666666666
169,2,0,12,6,1.0,0.6666666666666666
170,3,0,12,5,1.0,0.7058823529411765
171,0,0,12,8,nan,0.6
172,0,0,11,9,nan,0.55
173,0,0,15,5,nan,0.75
174,0,0,14,6,nan,0.7
175,0,0,15,5,nan,0.75
176,0,0,10,10,nan,0.5
177,0,0,14,6,nan,0.7
178,0,0,16,4,nan,0.8
179,0,0,13,7,nan,0.65
180,0,0,19,1,nan,0.95
181,0,0,7,13,nan,0.35
182,0,0,13,7,nan,0.65
183,0,0,15,5,nan,0.75
184,0,0,14,6,nan,0.7
185,0,0,16,4,nan,0.8
186,0,0,17,3,nan,0.85
187,0,0,13,7,nan,0.65
188,0,0,18,2,nan,0.9
189,0,0,15,5,nan,0.75
190,0,0,16,4,nan,0.8
191,0,0,13,7,nan,0.65
192,0,0,19,1,nan,0.95
