round,TP,FN,FP,TN,TPR_round,FPR_round
1,0,0,0,20,nan,0.0
2,0,0,0,20,nan,0.0
3,0,0,0,20,nan,0.0
4,0,0,0,20,nan,0.0
5,0,0,2,18,nan,0.1
6,0,0,4,16,nan,0.2
7,0,0,6,14,nan,0.3
8,0,0,8,12,nan,0.4
9,0,0,13,7,nan,0.65
10,0,0,12,8,nan,0.6
11,0,0,10,10,nan,0.5
12,0,0,18,2,nan,0.9
13,0,0,16,4,nan,0.8
14,0,0,17,3,nan,0.85
15,0,0,15,5,nan,0.75
16,0,0,17,3,nan,0.85
17,0,0,19,1,nan,0.95
18,0,0,12,8,nan,0.6
19,0,0,0,20,nan,0.0
20,0,0,11,9,nan,0.55
21,0,0,9,11,nan,0.45
22,0,0,11,9,nan,0.55
23,0,0,12,8,nan,0.6
24,0,0,11,9,nan,0.55
25,0,0,13,7,nan,0.65
26,0,0,13,7,nan,0.65
27,0,0,15,5,nan,0.75
28,0,0,11,9,nan,0.55
29,0,0,17,3,nan,0.85
30,0,0,12,8,nan,0.6
31,0,0,19,1,nan,0.95
32,0,0,3,17,nan,0.15
33,0,0,13,7,nan,0.65
34,0,0,12,8,nan,0.6
35,0,0,13,7,nan,0.65
36,0,0,14,6,nan,0.7
37,0,0,15,5,nan,0.75
38,0,0,11,9,nan,0.55
39,0,0,15,5,nan,0.75
40,0,0,13,7,nan,0.65
41,0,0,17,3,nan,0.85
42,0,0,12,8,nan,0.6
43,0,0,16,4,nan,0.8
44,0,0,17,3,nan,0.85
45,0,0,9,11,nan,0.45
46,0,0,14,6,nan,0.7
47,0,0,17,3,nan,0.85
48,0,0,16,4,nan,0.8
49,0,0,17,3,nan,0.85
50,0,0,16,4,nan,0.8
51,0,0,17,3,nan,0.85
52,0,0,15,5,nan,0.75
53,0,0,15,5,nan,0.75
54,0,0,18,2,nan,0.9
55,0,0,17,3,nan,0.85
56,0,0,14,6,nan,0.7
57,0,0,17,3,nan,0.85
58,0,0,15,5,nan,0.75
59,0,0,16,4,nan,0.8
60,0,0,16,4,nan,0.8
61,0,0,14,6,nan,0.7
62,0,0,15,5,nan,0.75
63,0,0,18,2,nan,0.9
64,0,0,14,6,nan,0.7
65,0,0,15,5,nan,0.75
66,0,0,19,1,nan,0.95
67,0,0,8,12,nan,0.4
68,0,0,15,5,nan,0.75
69,0,0,16,4,nan,0.8
70,0,0,16,4,nan,0.8
71,0,0,15,5,nan,0.75
72,0,0,17,3,nan,0.85
73,0,0,17,3,nan,0.85
74,0,0,16,4,nan,0.8
75,0,0,18,2,nan,0.9
76,0,0,15,5,nan,0.75
77,0,0,16,4,nan,0.8
78,0,0,0,20,nan,0.0
79,0,0,6,14,nan,0.3
80,0,0,13,7,nan,0.65
81,0,0,10,10,nan,0.5
82,0,0,12,8,nan,0.6
83,0,0,10,10,nan,0.5
84,0,0,12,8,nan,0.6
85,0,0,9,11,nan,0.45
86,0,0,6,14,nan,0.3
87,0,0,12,8,nan,0.6
88,0,0,13,7,nan,0.65
89,0,0,5,15,nan,0.25
90,0,0,13,7,nan,0.65
91,0,0,8,12,nan,0.4
92,0,0,12,8,nan,0.6
93,0,0,9,11,nan,0.45
94,0,0,14,6,nan,0.7
95,0,0,12,8,nan,0.6
96,0,0,13,7,nan,0.65
97,0,0,15,5,nan,0.75
98,0,0,9,11,nan,0.45
99,0,0,11,9,nan,0.55
100,0,0,13,7,nan,0.65
101,0,0,12,8,nan,0.6
102,0,0,14,6,nan,0.7
103,0,0,15,5,nan,0.75
104,0,0,7,13,nan,0.35
105,0,0,15,5,nan,0.75
106,0,0,15,5,nan,0.75
107,0,0,15,5,nan,0.75
108,0,0,13,7,nan,0.65
109,0,0,16,4,nan,0.8
110,0,0,17,3,nan,0.85
111,0,0,15,5,nan,0.75
112,0,0,9,11,nan,0.45
113,0,0,18,2,nan,0.9
114,0,0,8,12,nan,0.4
115,0,0,16,4,nan,0.8
116,0,0,15,5,nan,0.75
117,0,0,15,5,nan,0.75
118,0,0,15,5,nan,0.75
119,0,0,13,7,nan,0.65
120,1,1,13,5,0.5,0.7222222222222222
121,1,0,15,4,1.0,0.7894736842105263
122,6,0,7,7,1.0,0.5
123,4,0,11,5,1.0,0.6875
124,3,0,12,5,1.0,0.7058823529411765
125,1,0,15,4,1.0,0.7894736842105263
126,3,0,10,7,1.0,0.5882352941176471
127,2,0,13,5,1.0,0.7222222222222222
128,0,0,15,5,nan,0.75
129,2,0,15,3,1.0,0.8333333333333334
130,4,0,10,6,1.0,0.625
131,1,0,14,5,1.0,0.7368421052631579
132,2,0,17,1,1.0,0.9444444444444444
133,4,0,10,6,1.0,0.625
134,3,0,13,4,1.0,0.7647058823529411
135,2,0,15,3,1.0,0.8333333333333334
136,2,0,13,5,1.0,0.7222222222222222
137,2,0,14,4,1.0,0.7777777777777778
138,2,0,10,8,1.0,0.5555555555555556
139,3,0,13,4,1.0,0.7647058823529411
140,1,0,13,6,1.0,0.6842105263157895
141,2,0,14,4,1.0,0.7777777777777778
142,4,0,9,7,1.0,0.5625
143,3,0,14,3,1.0,0.8235294117647058
144,2,0,14,4,1.0,0.7777777777777778
145,3,0,13,4,1.0,0.7647058823529411
146,2,0,15,3,1.0,0.8333333333333334
147,4,0,9,7,1.0,0.5625
148,2,0,14,4,1.0,0.7777777777777778
149,1,0,14,5,1.0,0.7368421052631579
150,2,0,15,3,1.0,0.8333333333333334
151,4,0,14,2,1.0,0.875
152,2,0,14,4,1.0,0.7777777777777778
153,5,0,8,7,1.0,0.5333333333333333
154,2,0,14,4,1.0,0.7777777777777778
155,2,0,17,1,1.0,0.9444444444444444
156,2,0,8,10,1.0,0.4444444444444444
157,2,0,17,1,1.0,0.9444444444444444
158,2,0,15,3,1.0,0.8333333333333334
159,2,0,12,6,1.0,0.6666666666666666
160,3,0,15,2,1.0,0.8823529411764706
161,4,0,13,3,1.0,0.8125
162,2,0,8,10,1.0,0.4444444444444444
163,1,0,16,3,1.0,0.8421052631578947
164,5,0,13,2,1.0,0.8666666666666667
165,2,0,15,3,1.0,0.8333333333333334
166,2,0,15,3,1.0,0.8333333333333334
167,1,0,17,2,1.0,0.8947368421052632
168,2,0,16,2,1.0,0.8888888888888888
169,2,0,14,4,1.0,0.7777777777777778
170,3,0,15,2,1.0,0.8823529411764706
171,0,0,15,5,nan,0.75
172,0,0,16,4,nan,0.8
173,0,0,18,2,nan,0.9
174,0,0,16,4,nan,0.8
175,0,0,19,1,nan,0.95
176,0,0,18,2,nan,0.9
177,0,0,16,4,nan,0.8
178,0,0,17,3,nan,0.85
179,0,0,0,20,nan,0.0
180,0,0,13,7,nan,0.65
181,0,0,10,10,nan,0.5
182,0,0,9,11,nan,0.45
183,0,0,10,10,nan,0.5
184,0,0,9,11,nan,0.45
185,0,0,11,9,nan,0.55
186,0,0,10,10,nan,0.5
187,0,0,12,8,nan,0.6
188,0,0,13,7,nan,0.65
189,0,0,11,9,nan,0.55
190,0,0,13,7,nan,0.65
191,0,0,13,7,nan,0.65
