round,TP,FN,FP,TN,TPR_round,FPR_round
1,0,0,0,20,nan,0.0
2,0,0,0,20,nan,0.0
3,0,0,0,20,nan,0.0
4,0,0,4,16,nan,0.2
5,0,0,2,18,nan,0.1
6,0,0,3,17,nan,0.15
7,0,0,2,18,nan,0.1
8,0,0,11,9,nan,0.55
9,0,0,14,6,nan,0.7
10,0,0,15,5,nan,0.75
11,0,0,12,8,nan,0.6
12,0,0,17,3,nan,0.85
13,0,0,18,2,nan,0.9
14,0,0,1,19,nan,0.05
15,0,0,18,2,nan,0.9
16,0,0,18,2,nan,0.9
17,0,0,19,1,nan,0.95
18,0,0,7,13,nan,0.35
19,0,0,12,8,nan,0.6
20,0,0,0,20,nan,0.0
21,0,0,13,7,nan,0.65
22,0,0,14,6,nan,0.7
23,0,0,10,10,nan,0.5
24,0,0,13,7,nan,0.65
25,0,0,16,4,nan,0.8
26,0,0,15,5,nan,0.75
27,0,0,17,3,nan,0.85
28,0,0,19,1,nan,0.95
29,0,0,6,14,nan,0.3
30,0,0,8,12,nan,0.4
31,0,0,19,1,nan,0.95
32,0,0,3,17,nan,0.15
33,0,0,10,10,nan,0.5
34,0,0,16,4,nan,0.8
35,0,0,17,3,nan,0.85
36,0,0,15,5,nan,0.75
37,0,0,13,7,nan,0.65
38,0,0,18,2,nan,0.9
39,0,0,11,9,nan,0.55
40,0,0,13,7,nan,0.65
41,0,0,0,20,nan,0.0
42,0,0,5,15,nan,0.25
43,0,0,9,11,nan,0.45
44,0,0,5,15,nan,0.25
45,0,0,10,10,nan,0.5
46,0,0,6,14,nan,0.3
47,0,0,6,14,nan,0.3
48,0,0,11,9,nan,0.55
49,0,0,9,11,nan,0.45
50,0,0,12,8,nan,0.6
51,0,0,9,11,nan,0.45
52,0,0,12,8,nan,0.6
53,0,0,13,7,nan,0.65
54,0,0,10,10,nan,0.5
55,0,0,10,10,nan,0.5
56,0,0,12,8,nan,0.6
57,0,0,9,11,nan,0.45
58,0,0,9,11,nan,0.45
59,0,0,12,8,nan,0.6
60,0,0,12,8,nan,0.6
61,0,0,12,8,nan,0.6
62,0,0,16,4,nan,0.8
63,0,0,14,6,nan,0.7
64,0,0,11,9,nan,0.55
65,0,0,16,4,nan,0.8
66,0,0,10,10,nan,0.5
67,0,0,14,6,nan,0.7
68,0,0,14,6,nan,0.7
69,0,0,15,5,nan,0.75
70,0,0,14,6,nan,0.7
71,0,0,15,5,nan,0.75
72,0,0,13,7,nan,0.65
73,0,0,18,2,nan,0.9
74,0,0,14,6,nan,0.7
75,0,0,9,11,nan,0.45
76,0,0,18,2,nan,0.9
77,0,0,12,8,nan,0.6
78,0,0,12,8,nan,0.6
79,0,0,15,5,nan,0.75
80,0,0,16,4,nan,0.8
81,0,0,13,7,nan,0.65
82,0,0,12,8,nan,0.6
83,0,0,15,5,nan,0.75
84,0,0,13,7,nan,0.65
85,0,0,16,4,nan,0.8
86,0,0,14,6,nan,0.7
87,0,0,15,5,nan,0.75
88,0,0,19,1,nan,0.95
89,0,0,6,14,nan,0.3
90,0,0,13,7,nan,0.65
91,0,0,16,4,nan,0.8
92,0,0,0,20,nan,0.0
93,0,0,4,16,nan,0.2
94,0,0,3,17,nan,0.15
95,0,0,6,14,nan,0.3
96,0,0,4,16,nan,0.2
97,0,0,7,13,nan,0.35
98,0,0,8,12,nan,0.4
99,0,0,6,14,nan,0.3
100,0,0,7,13,nan,0.35
101,0,0,12,8,nan,0.6
102,0,0,7,13,nan,0.35
103,0,0,5,15,nan,0.25
104,0,0,13,7,nan,0.65
105,0,0,9,11,nan,0.45
106,0,0,13,7,nan,0.65
107,0,0,7,13,nan,0.35
108,0,0,9,11,nan,0.45
109,0,0,8,12,nan,0.4
110,0,0,9,11,nan,0.45
111,0,0,13,7,nan,0.65
112,0,0,8,12,nan,0.4
113,0,0,10,10,nan,0.5
114,0,0,13,7,nan,0.65
115,0,0,12,8,nan,0.6
116,0,0,10,10,nan,0.5
117,0,0,10,10,nan,0.5
118,0,0,14,6,nan,0.7
119,0,0,10,10,nan,0.5
120,1,1,11,7,0.5,0.6111111111111112
121,1,0,16,3,1.0,0.8421052631578947
122,5,0,5,10,1.0,0.3333333333333333
123,3,0,11,6,1.0,0.6470588235294118
124,2,0,7,11,1.0,0.3888888888888889
125,1,0,12,7,1.0,0.631578947368421
126,3,0,12,5,1.0,0.7058823529411765
127,2,0,11,7,1.0,0.6111111111111112
128,0,0,16,4,nan,0.8
129,1,0,10,9,1.0,0.5263157894736842
130,4,0,13,3,1.0,0.8125
131,1,0,7,12,1.0,0.3684210526315789
132,2,0,10,8,1.0,0.5555555555555556
133,3,0,14,3,1.0,0.8235294117647058
134,3,0,10,7,1.0,0.5882352941176471
135,1,0,13,6,1.0,0.6842105263157895
136,2,0,12,6,1.0,0.6666666666666666
137,2,0,10,8,1.0,0.5555555555555556
138,2,0,14,4,1.0,0.7777777777777778
139,3,0,13,4,1.0,0.7647058823529411
140,1,0,14,5,1.0,0.7368421052631579
141,2,0,9,9,1.0,0.5
142,3,0,13,4,1.0,0.7647058823529411
143,2,0,13,5,1.0,0.7222222222222222
144,2,0,12,6,1.0,0.6666666666666666
145,3,0,14,3,1.0,0.8235294117647058
146,1,0,11,8,1.0,0.5789473684210527
147,4,0,9,7,1.0,0.5625
148,1,0,13,6,1.0,0.6842105263157895
149,0,0,12,8,nan,0.6
150,2,0,16,2,1.0,0.8888888888888888
151,3,0,10,7,1.0,0.5882352941176471
152,1,0,15,4,1.0,0.7894736842105263
153,4,0,10,6,1.0,0.625
154,2,0,11,7,1.0,0.6111111111111112
155,2,0,13,5,1.0,0.7222222222222222
156,1,0,12,7,1.0,0.631578947368421
157,2,0,13,5,1.0,0.7222222222222222
158,2,0,12,6,1.0,0.6666666666666666
159,2,0,11,7,1.0,0.6111111111111112
160,3,0,12,5,1.0,0.7058823529411765
161,3,0,13,4,1.0,0.7647058823529411
162,2,0,13,5,1.0,0.7222222222222222
163,1,0,16,3,1.0,0.8421052631578947
164,4,0,10,6,1.0,0.625
165,2,0,16,2,1.0,0.8888888888888888
166,1,0,8,11,1.0,0.42105263157894735
167,0,0,19,1,nan,0.95
168,2,0,7,11,1.0,0.3888888888888889
169,1,0,18,1,1.0,0.9473684210526315
170,3,0,6,11,1.0,0.35294117647058826
171,0,0,16,4,nan,0.8
172,0,0,18,2,nan,0.9
173,0,0,9,11,nan,0.45
174,0,0,17,3,nan,0.85
175,0,0,13,7,nan,0.65
176,0,0,15,5,nan,0.75
177,0,0,17,3,nan,0.85
178,0,0,16,4,nan,0.8
179,0,0,18,2,nan,0.9
180,0,0,15,5,nan,0.75
181,0,0,15,5,nan,0.75
182,0,0,13,7,nan,0.65
183,0,0,15,5,nan,0.75
184,0,0,18,2,nan,0.9
185,0,0,11,9,nan,0.55
186,0,0,0,20,nan,0.0
187,0,0,2,18,nan,0.1
188,0,0,5,15,nan,0.25
189,0,0,2,18,nan,0.1
190,0,0,8,12,nan,0.4
191,0,0,4,16,nan,0.2
