round,main_accuracy,main_loss,attack_success_rate,is_attack_active,bottleneck_distance,bottleneck_threshold
1,0.8586,0.45477180406451223,0.0,0,,
2,0.8638,0.42101737558841706,0.0,0,,
3,0.8611,0.429189969599247,0.0,0,,
4,0.8622,0.4191434904932976,0.0,0,,
5,0.8629,0.4127299837768078,0.0,0,,
6,0.8668,0.4057190500199795,0.0,0,,
7,0.8666,0.4089840456843376,0.0,0,,
8,0.8589,0.43701690807938576,0.0,0,,
9,0.8674,0.4141708590090275,0.0,0,,
10,0.8596,0.4295041672885418,0.0,0,,
11,0.8648,0.41323426812887193,0.0,0,,
12,0.8701,0.3990416556596756,0.0,0,,
13,0.8665,0.416641915589571,0.0,0,,
14,0.8625,0.4295596286654472,0.0,0,,
15,0.8649,0.425502597540617,0.0,0,,
16,0.8681,0.4093840830028057,0.0,0,,
17,0.8739,0.3878447934985161,0.0,0,,
18,0.8712,0.3995522201061249,0.0,0,,
19,0.8754,0.3910672999918461,0.0,0,,
20,0.8698,0.4145998157560825,0.141,1,,
21,0.8707,0.39709805846214297,0.1645,1,,
22,0.8658,0.419100546091795,0.2074,1,,
23,0.8608,0.4446828290820122,0.204,1,,
24,0.8691,0.40974201261997223,0.2046,1,,
25,0.8698,0.4104805663228035,0.2804,1,,
